,weight
nuclear_deal,46.34855589335215
iran_nuclear,46.21663644143073
uranium_enrichment,43.747555398907124
lift_sanctions,40.90197591002512
nuclear_programme,40.19711071238091
nuclear_program,39.73968464516191
iran's_nuclear,39.66933121211382
sensitive_nuclear,39.57163006114223
tehran's_nuclear,38.48399091428122
arms_inspectors,38.29747118445518
lifting_sanctions,38.20091153286556
sanctions,37.938751183844154
enrichment,37.716078078351
world_powers,37.66730182842258
sanctions_against,37.26287895777767
weapons_inspectors,36.62652207416922
un_sanctions,34.98517344936006
smart_sanctions,33.87333893213345
sanctions_imposed,33.4285330781142
six_powers,33.262700797889615
major_powers,33.17930878135018
nuclear_pact,33.14268183595744
arms_embargo,32.89883849409103
iaea_board,31.61525051211149
nuclear_activities,31.197832431859673
nuclear_watchdog,30.85215925751763
nuclear_enrichment,30.6621663923661
nuclear_fuel,29.919323758384746
invaded_kuwait,29.661070843672324
stop_enriching,29.613342905639758
enrich_uranium,29.42793006952863
sanctions_regime,29.34190707471869
weapons_inspections,29.28629204402827
possible_sanctions,29.147913355920345
sanctions_resolution,29.143673837356324
iranian_officials,29.058308100961867
disputed_nuclear,29.033089359792097
civilian_nuclear,29.0296704214104
low_enriched,28.903472774154277
tougher_sanctions,28.54131012772604
western_powers,28.49349323130669
disarmament,28.418739050646924
security_council's,28.293593840334545
enrichment_programme,28.233919779318377
develop_nuclear,28.10455755596944
impose_sanctions,28.019633792187108
economic_sanctions,27.723759762601453
arms_inspections,27.64021321256161
nuclear_ambitions,27.23115957315542
jcpoa,27.092021540984234
sanctions_lifted,26.977493352326977
maximum_pressure,26.930173279875532
enriching_uranium,26.86331418324568
halt_enrichment,26.5185568660738
embargoes,26.47326987712689
unilateral_sanctions,26.44917788560023
indirect_talks,26.365662898214087
isolate_iran,25.81356410570771
presidential_sites,25.799732816149955
nuclear_dispute,25.657197448072612
punitive_measures,25.65385680136953
drafted_resolution,25.61119920650098
enrichment_work,25.03470378523069
peaceful_nuclear,24.809153161962925
suspend_enrichment,24.69953858443422
atomic_programme,24.550062595807464
atomic_fuel,24.27953628022119
eu_diplomat,23.9275758378338
inspection_teams,23.817490887887338
reimpose_sanctions,23.39386019596026
eu_trio,23.229888607054
resolution_adopted,23.154917701747543
iranian_official,23.083918233318222
ease_sanctions,22.889571334063717
eu_diplomats,22.336638306067183
nuclear_accord,22.11930608571881
arms_inspection,21.845526673486052
iraq's_ambassador,21.690536608030335
sanctions_resolutions,21.468403943354826
russian_proposal,21.46409627347081
west_suspects,21.30328820697351
imposing_sanctions,21.017064497432294
crippling_sanctions,21.013930954998134
inspectors_back,20.98820470919362
hamdoon,20.838415952173392
suspend_uranium,20.730817605389213
produce_atomic,20.02702000378922
three_rounds,19.970548660183244
enrichment_activities,19.76765702788873
reimposing,18.681197939246932
curb_iran's,18.07190266724896
iran's_case,17.77168409350687
british_proposals,17.729726232024127
first_step,16.954747063950652
respond_positively,16.168449834156846
inspection_regime,15.81455943871959
sensitive_atomic,15.430809464944396
resolution_imposing,13.607412140114038
isolate_tehran,13.600428884493729
jpoa,13.464725457310584
